GEOID,POPULATION,coverage_pct,pop_with_access,COMMUTERS_TOTAL,TRANSIT_COMMUTERS,HOUSEHOLDS_TOTAL,ZERO_VEH_HH,transit_commuter_share,zero_vehicle_share,MEDIAN_RENT_PER_ROOM,min_grocery_minutes,min_transit_minutes,min_access_minutes,min_gtfs_minutes
g1044,30,0.5739151625391096,17,14,2,10,1,0.14285714285714285,0.1,0.5873479318734794,15.209501678840999,10.600406346349152,15.209501678840999,95.84129613160516
g1045,30,1.0,30,14,2,10,1,0.14285714285714285,0.1,0.5873479318734794,12.157790443838234,6.39655849727874,12.157790443838234,95.27400913292819
g1046,45,1.0,45,20,3,15,2,0.15,0.13333333333333333,0.38935947960184214,8.374305920021769,2.613073973462276,8.374305920021769,94.83372149652813
g1047,60,1.0,60,25,4,19,2,0.16,0.10526315789473684,0.19123980573627783,9.836585059193338,1.2844760378000672,9.836585059193338,94.52241356999146
g1048,75,0.9692357283395765,73,31,4,20,2,0.12903225806451613,0.1,0.1891286051326091,11.677163722427103,6.262826921738074,11.677163722427103,94.34151044245588
g1049,127,0.3419026205143555,43,55,5,20,1,0.09090909090909091,0.05,0.18146089281411804,13.759393374906574,7.673537461989983,13.759393374906574,94.2918498820328
g1050,161,0.0,0,75,14,32,8,0.18666666666666668,0.25,0.19937807611062958,16.866105457413894,10.780249544497302,16.866105457413894,94.37366312105127
g1051,282,0.0,0,149,52,82,38,0.348993288590604,0.4634146341463415,0.2736805988470753,18.36805315805481,12.40871517001242,18.36805315805481,94.58656950468516
g1052,292,0.0,0,154,55,86,40,0.35714285714285715,0.46511627906976744,0.27956989247311825,26.90295306443046,6.6930644256067175,26.90295306443046,94.92958528935206
g1053,292,0.0,0,155,55,86,40,0.3548387096774194,0.46511627906976744,0.2793565406564623,24.35691130036119,3.4713556623881545,24.35691130036119,95.40114612083775
g1054,316,0.030153512295478958,10,185,46,110,18,0.24864864864864866,0.16363636363636364,0.23528327071878175,26.662115740837745,5.211345557154613,26.662115740837745,95.99914201031063
g1055,317,0.0,0,186,45,111,16,0.24193548387096775,0.14414414414414414,0.23263232514177692,20.766101111048293,9.681958048724619,20.766101111048293,96.72096302458743
g1056,317,0.706034466445446,224,186,45,111,16,0.24193548387096775,0.14414414414414414,0.23263232514177692,13.73777720217451,7.421533698841852,13.73777720217451,97.56355346476364
g1057,323,1.0,323,195,45,116,14,0.23076923076923078,0.1206896551724138,0.24491490068650854,9.564449927828793,3.246947060361621,9.564449927828793,98.52347205240626
g1058,447,1.0,447,281,64,171,17,0.2277580071174377,0.09941520467836257,0.2226081441395958,9.794341482058476,3.6910474065408705,9.794341482058476,99.59695557905958
g1059,450,1.0,450,289,65,175,19,0.22491349480968859,0.10857142857142857,0.22217955467194508,1.6299022881464238,0.8392652486113281,1.6299022881464238,100.77998358555823
g1060,461,1.0,461,315,70,188,24,0.2222222222222222,0.1276595744680851,0.2223504751441253,6.853344822400678,1.7476387800405386,6.853344822400678,102.06834188921547
g1061,460,1.0,460,315,70,188,24,0.2222222222222222,0.1276595744680851,0.22332555425232023,9.160843800830547,3.694087562319588,9.160843800830547,103.45768312685105
g1062,310,0.31668711719980736,98,175,24,137,23,0.13714285714285715,0.1678832116788321,0.12481967630236666,6.546857198081881,8.51341864303659,6.546857198081881,104.94358288517361
g1063,153,0.0,0,78,13,56,2,0.16666666666666666,0.03571428571428571,0.26074592859826473,27.40819864285517,1.4937921648993604,27.40819864285517,128.7633888637411
g1064,0,0.0,0,0,0,0,0,0.0,0.0,0.11953242835595777,30.013493632654903,12.1237527635003,30.013493632654903,146.176801524426
g1065,734,0.0,0,386,63,297,40,0.16321243523316062,0.13468013468013468,0.11954813294326286,28.379833483884916,7.569936191763715,28.379833483884916,143.51256373851933
