GEOID,POPULATION,coverage_pct,pop_with_access,COMMUTERS_TOTAL,TRANSIT_COMMUTERS,HOUSEHOLDS_TOTAL,ZERO_VEH_HH,transit_commuter_share,zero_vehicle_share,MEDIAN_RENT_PER_ROOM,min_grocery_minutes,min_transit_minutes,min_access_minutes,min_gtfs_minutes
g4366,3,0.0,0,1,0,0,0,0.0,0.0,0.0,95.31499442202191,5.9696276332547535,95.31499442202191,175.99262681850945
g4367,3,0.0,0,1,0,0,0,0.0,0.0,0.0,90.18756306361287,2.7704106400270314,90.18756306361287,176.7182269617274
g4368,3,0.0,0,1,0,0,0,0.0,0.0,0.0,89.14256029188387,1.3272190842317086,89.14256029188387,177.5233140269835
g4369,1295,0.0,0,741,128,588,49,0.17273954116059378,0.08333333333333333,0.04997907805916609,89.14256029188387,1.3272190842317086,89.14256029188387,178.40645622688336
g4370,0,0.0,0,0,0,0,0,0.0,0.0,0.0,51.89865783267945,0.0,51.89865783267945,185.5086793339228
g4371,0,0.0,0,0,0,0,0,0.0,0.0,0.0,51.89865783267945,0.0,51.89865783267945,184.37261523247182
g4372,0,0.0,0,0,0,0,0,0.0,0.0,0.0,51.89865783267945,0.0,51.89865783267945,183.3072273921099
g4373,0,0.0,0,0,0,0,0,0.0,0.0,0.0,51.89865783267945,0.0,51.89865783267945,182.31415281879885
g4374,0,0.0,0,0,0,0,0,0.0,0.0,0.0,51.89865783267945,0.0,51.89865783267945,181.3949632185118
g4375,0,0.0,0,0,0,0,0,0.0,0.0,0.0,51.89865783267945,0.0,51.89865783267945,180.55115418730668
g4376,0,0.0,0,0,0,0,0,0.0,0.0,0.0,51.89865783267945,0.0,51.89865783267945,179.7841343933131
g4377,0,0.0,0,0,0,0,0,0.0,0.0,0.0,85.55147521963796,0.0,85.55147521963796,179.09521490753013
g4378,1,0.0,0,0,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,178.48559885072612
g4379,3,0.0,0,0,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,177.95637153016278
g4380,3,0.0,0,1,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,177.50849124166848
g4381,3,0.0,0,1,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,177.1427809092502
g4382,3,0.0,0,1,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,176.85992072566023
g4383,1,0.0,0,0,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,176.66044194307065
g4384,0,0.0,0,0,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,176.54472194347605
g4385,0,0.0,0,0,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,176.51298069414935
