GEOID,POPULATION,coverage_pct,pop_with_access,COMMUTERS_TOTAL,TRANSIT_COMMUTERS,HOUSEHOLDS_TOTAL,ZERO_VEH_HH,transit_commuter_share,zero_vehicle_share,MEDIAN_RENT_PER_ROOM,min_grocery_minutes,min_transit_minutes,min_access_minutes,min_grocery_minutes_fb_1,min_grocery_minutes_fb_2,min_grocery_minutes_fb_3,min_grocery_minutes_fb_4,min_grocery_minutes_fb_5,min_access_minutes_fb_1,min_access_minutes_fb_2,min_access_minutes_fb_3,min_access_minutes_fb_4,min_access_minutes_fb_5
g3085,392,1.0,392,196,48,150,32,0.24489795918367346,0.21333333333333335,0.09775044760448443,14.568870547615408,11.493612910390759,11.493612910390759,14.568870547615408,14.568870547615408,14.568870547615408,14.568870547615408,14.568870547615408,11.493612910390759,11.493612910390759,11.493612910390759,11.493612910390759,11.493612910390759
g3086,488,1.0,488,190,59,183,54,0.3105263157894737,0.29508196721311475,0.06689658872665386,16.909172490568196,12.543008497683978,12.543008497683978,16.909172490568196,16.909172490568196,16.909172490568196,16.909172490568196,16.909172490568196,12.543008497683978,12.543008497683978,12.543008497683978,12.543008497683978,12.543008497683978
g3087,557,1.0,557,185,67,206,69,0.3621621621621622,0.33495145631067963,0.04482778575014809,12.853902383816482,12.233060397531718,12.233060397531718,12.853902383816482,12.853902383816482,12.853902383816482,12.853902383816482,12.853902383816482,12.233060397531718,12.233060397531718,12.233060397531718,12.233060397531718,12.233060397531718
g3088,558,1.0,558,185,67,206,70,0.3621621621621622,0.33980582524271846,0.04450752503883027,9.344257859110437,12.316610316996845,9.344257859110437,9.344257859110437,9.344257859110437,9.344257859110437,9.344257859110437,9.344257859110437,9.344257859110437,9.344257859110437,9.344257859110437,9.344257859110437,9.344257859110437
g3089,558,1.0,558,185,67,206,70,0.3621621621621622,0.33980582524271846,0.04450752503883027,9.912382817682673,12.906908247497585,9.912382817682673,9.912382817682673,9.912382817682673,9.912382817682673,9.912382817682673,9.912382817682673,9.912382817682673,9.912382817682673,9.912382817682673,9.912382817682673,9.912382817682673
g3090,557,1.0,557,188,68,206,69,0.3617021276595745,0.33495145631067963,0.04658721425299462,9.641115097506423,12.63618194461657,9.641115097506423,9.641115097506423,9.641115097506423,9.641115097506423,9.641115097506423,9.641115097506423,9.641115097506423,9.641115097506423,9.641115097506423,9.641115097506423,9.641115097506423
g3091,543,1.0,543,234,80,210,56,0.3418803418803419,0.26666666666666666,0.07655675720610448,9.89282165199829,12.887888499108437,9.89282165199829,9.89282165199829,9.89282165199829,9.89282165199829,9.89282165199829,9.89282165199829,9.89282165199829,9.89282165199829,9.89282165199829,9.89282165199829,9.89282165199829
g3092,532,1.0,532,258,86,210,48,0.3333333333333333,0.22857142857142856,0.09249089055114709,9.390487623571191,11.645273308075803,9.390487623571191,9.390487623571191,9.390487623571191,9.390487623571191,9.390487623571191,9.390487623571191,9.390487623571191,9.390487623571191,9.390487623571191,9.390487623571191,9.390487623571191
g3093,403,1.0,403,184,51,168,31,0.27717391304347827,0.18452380952380953,0.07238721511317842,13.38112005533214,6.928072612323074,6.928072612323074,13.38112005533214,13.38112005533214,13.38112005533214,13.38112005533214,13.38112005533214,6.928072612323074,6.928072612323074,6.928072612323074,6.928072612323074,6.928072612323074
g3094,358,1.0,358,158,39,153,25,0.2468354430379747,0.16339869281045752,0.06538612308898471,16.298635743370404,4.037168925085391,4.037168925085391,16.298635743370404,16.298635743370404,16.298635743370404,16.298635743370404,16.298635743370404,4.037168925085391,4.037168925085391,4.037168925085391,4.037168925085391,4.037168925085391
g3095,345,0.23909117917902767,82,153,39,147,24,0.2549019607843137,0.16326530612244897,0.07159650225345629,22.381097453659788,5.83713624390307,5.83713624390307,22.381097453659788,22.381097453659788,22.381097453659788,22.381097453659788,22.381097453659788,5.83713624390307,5.83713624390307,5.83713624390307,5.83713624390307,5.83713624390307
g3096,257,0.0,0,121,38,108,16,0.3140495867768595,0.14814814814814814,0.11410389648564573,24.051500757486707,7.507539547729992,7.507539547729992,24.051500757486707,24.051500757486707,24.051500757486707,24.051500757486707,24.051500757486707,7.507539547729992,7.507539547729992,7.507539547729992,7.507539547729992,7.507539547729992
g3097,234,0.0,0,111,36,97,15,0.32432432432432434,0.15463917525773196,0.1286403233028085,27.21142545647481,9.160722944585336,9.160722944585336,27.21142545647481,27.21142545647481,27.21142545647481,27.21142545647481,27.21142545647481,9.160722944585336,9.160722944585336,9.160722944585336,9.160722944585336,9.160722944585336
g3098,306,0.0,0,115,19,120,22,0.16521739130434782,0.18333333333333332,0.12807877353295075,30.769963626081694,12.368292533677204,12.368292533677204,30.769963626081694,30.769963626081694,30.769963626081694,30.769963626081694,30.769963626081694,12.368292533677204,12.368292533677204,12.368292533677204,12.368292533677204,12.368292533677204
g3099,280,0.0,0,104,20,115,17,0.19230769230769232,0.14782608695652175,0.149603423322978,30.712618845885984,14.721293021539696,14.721293021539696,30.712618845885984,30.712618845885984,30.712618845885984,30.712618845885984,30.712618845885984,14.721293021539696,14.721293021539696,14.721293021539696,14.721293021539696,14.721293021539696
