GEOID,POPULATION,coverage_pct,pop_with_access,COMMUTERS_TOTAL,TRANSIT_COMMUTERS,HOUSEHOLDS_TOTAL,ZERO_VEH_HH,transit_commuter_share,zero_vehicle_share,MEDIAN_RENT_PER_ROOM,min_grocery_minutes,min_transit_minutes,min_access_minutes,min_gtfs_minutes,min_grocery_minutes_fb_1,min_grocery_minutes_fb_2,min_grocery_minutes_fb_3,min_grocery_minutes_fb_4,min_grocery_minutes_fb_5,min_grocery_minutes_fb_6,min_grocery_minutes_fb_7,min_grocery_minutes_fb_8,min_grocery_minutes_fb_9,min_grocery_minutes_fb_10,min_access_minutes_fb_1,min_access_minutes_fb_2,min_access_minutes_fb_3,min_access_minutes_fb_4,min_access_minutes_fb_5,min_access_minutes_fb_6,min_access_minutes_fb_7,min_access_minutes_fb_8,min_access_minutes_fb_9,min_access_minutes_fb_10
g11,102,0.0,0,48,6,27,2,0.125,0.07407407407407407,0.19613546644504468,38.544916462969574,12.612464932532799,38.544916462969574,242.16671546375835,38.544916462969574,38.544916462969574,38.544916462969574,38.544916462969574,38.544916462969574,38.544916462969574,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,38.544916462969574,38.544916462969574,38.544916462969574,38.544916462969574,38.544916462969574,38.544916462969574,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667
g12,102,0.0,0,48,6,27,2,0.125,0.07407407407407407,0.19613546644504468,38.09563677860485,12.163185248168082,38.09563677860485,242.25780530697665,38.09563677860485,38.09563677860485,38.09563677860485,38.09563677860485,38.09563677860485,38.09563677860485,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,38.09563677860485,38.09563677860485,38.09563677860485,38.09563677860485,38.09563677860485,38.09563677860485,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335
g13,1292,0.0,0,485,13,367,21,0.026804123711340205,0.05722070844686648,0.19242067896149234,36.24022320608074,10.307771675643968,36.24022320608074,242.40495437308604,36.24022320608074,36.24022320608074,36.24022320608074,36.24022320608074,36.24022320608074,36.24022320608074,0.0,0.0,0.0,0.0,36.24022320608074,36.24022320608074,36.24022320608074,36.24022320608074,36.24022320608074,36.24022320608074,0.0,0.0,0.0,0.0
g14,32,0.0,0,12,0,9,1,0.0,0.1111111111111111,0.16826736442566037,29.0795318587563,12.27203108425497,29.0795318587563,243.18127540838256,29.0795318587563,29.0795318587563,29.0795318587563,29.0795318587563,29.0795318587563,29.0795318587563,10.0,10.0,10.0,10.0,29.0795318587563,29.0795318587563,29.0795318587563,29.0795318587563,29.0795318587563,29.0795318587563,10.0,10.0,10.0,10.0
g15,1,0.0,0,1,0,0,0,0.0,0.0,0.16856154992821445,23.21412508026942,6.482702979089412,23.21412508026942,243.55094876842412,23.21412508026942,23.21412508026942,23.21412508026942,23.21412508026942,23.21412508026942,23.21412508026942,13.333333333333334,13.333333333333334,13.333333333333334,13.333333333333334,23.21412508026942,23.21412508026942,23.21412508026942,23.21412508026942,23.21412508026942,23.21412508026942,13.333333333333334,13.333333333333334,13.333333333333334,13.333333333333334
g16,35,0.0,0,15,2,10,1,0.13333333333333333,0.1,0.1955481925730752,38.12592071465909,2.2429272891383443,38.12592071465909,238.8200129586363,38.12592071465909,38.12592071465909,38.12592071465909,38.12592071465909,38.12592071465909,38.12592071465909,13.743685418725535,13.743685418725535,13.743685418725535,13.743685418725535,38.12592071465909,38.12592071465909,38.12592071465909,38.12592071465909,38.12592071465909,38.12592071465909,13.743685418725535,13.743685418725535,13.743685418725535,13.743685418725535
g17,101,0.0,0,48,6,27,2,0.125,0.07407407407407407,0.19613546644504468,38.43333922543085,7.177200136172168,38.43333922543085,238.79843615740643,38.43333922543085,38.43333922543085,38.43333922543085,38.43333922543085,38.43333922543085,38.43333922543085,10.540925533894598,10.540925533894598,10.540925533894598,10.540925533894598,38.43333922543085,38.43333922543085,38.43333922543085,38.43333922543085,38.43333922543085,38.43333922543085,10.540925533894598,10.540925533894598,10.540925533894598,10.540925533894598
g18,102,0.0,0,48,6,27,2,0.125,0.07407407407407407,0.19613546644504468,36.88285861057358,10.950407080136806,36.88285861057358,238.83398832166907,36.88285861057358,36.88285861057358,36.88285861057358,36.88285861057358,36.88285861057358,36.88285861057358,7.4535599249993,7.4535599249993,7.4535599249993,7.4535599249993,36.88285861057358,36.88285861057358,36.88285861057358,36.88285861057358,36.88285861057358,36.88285861057358,7.4535599249993,7.4535599249993,7.4535599249993,7.4535599249993
g19,102,0.0,0,48,6,27,2,0.125,0.07407407407407407,0.19613546644504468,35.469537170972345,9.537085640535572,35.469537170972345,238.9266381409176,35.469537170972345,35.469537170972345,35.469537170972345,35.469537170972345,35.469537170972345,35.469537170972345,4.714045207910317,4.714045207910317,4.714045207910317,4.714045207910317,35.469537170972345,35.469537170972345,35.469537170972345,35.469537170972345,35.469537170972345,35.469537170972345,4.714045207910317,4.714045207910317,4.714045207910317,4.714045207910317
g20,90,0.0,0,40,4,24,2,0.1,0.08333333333333333,0.19607612611652347,33.86449690594377,7.9320453755069975,33.86449690594377,239.07630412659896,33.86449690594377,33.86449690594377,33.86449690594377,33.86449690594377,33.86449690594377,33.86449690594377,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,33.86449690594377,33.86449690594377,33.86449690594377,33.86449690594377,33.86449690594377,33.86449690594377,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335
