GEOID,POPULATION,coverage_pct,pop_with_access,COMMUTERS_TOTAL,TRANSIT_COMMUTERS,HOUSEHOLDS_TOTAL,ZERO_VEH_HH,transit_commuter_share,zero_vehicle_share,MEDIAN_RENT_PER_ROOM,min_grocery_minutes,min_transit_minutes,min_access_minutes,min_grocery_minutes_fb_1,min_grocery_minutes_fb_2,min_grocery_minutes_fb_3,min_grocery_minutes_fb_4,min_grocery_minutes_fb_5,min_access_minutes_fb_1,min_access_minutes_fb_2,min_access_minutes_fb_3,min_access_minutes_fb_4,min_access_minutes_fb_5
g8264,36,0.0,0,18,2,15,2,0.1111111111111111,0.13333333333333333,0.14961445505811946,49.43368881726658,4.727635541875638,4.727635541875638,49.43368881726658,49.43368881726658,49.43368881726658,49.43368881726658,49.43368881726658,4.727635541875638,4.727635541875638,4.727635541875638,4.727635541875638,4.727635541875638
g8265,36,0.0,0,18,2,15,2,0.1111111111111111,0.13333333333333333,0.14961445505811946,48.28749040960384,8.307186040609777,8.307186040609777,48.28749040960384,48.28749040960384,48.28749040960384,48.28749040960384,48.28749040960384,8.307186040609777,8.307186040609777,8.307186040609777,8.307186040609777,8.307186040609777
g8266,36,0.0,0,18,2,15,2,0.1111111111111111,0.13333333333333333,0.14961445505811946,45.05360485496159,5.073300485967533,5.073300485967533,45.05360485496159,45.05360485496159,45.05360485496159,45.05360485496159,45.05360485496159,5.073300485967533,5.073300485967533,5.073300485967533,5.073300485967533,5.073300485967533
g8267,84,0.0,0,43,6,33,1,0.13953488372093023,0.030303030303030304,0.12624550638308693,45.05360485496159,5.073300485967533,5.073300485967533,45.05360485496159,45.05360485496159,45.05360485496159,45.05360485496159,45.05360485496159,5.073300485967533,5.073300485967533,5.073300485967533,5.073300485967533,5.073300485967533
g8268,97,0.0,0,50,7,38,1,0.14,0.02631578947368421,0.12010513759745023,45.05360485496159,5.073300485967533,5.073300485967533,45.05360485496159,45.05360485496159,45.05360485496159,45.05360485496159,45.05360485496159,5.073300485967533,5.073300485967533,5.073300485967533,5.073300485967533,5.073300485967533
g8269,96,0.0,0,47,4,38,1,0.0851063829787234,0.02631578947368421,0.16775770309382407,45.05360485496159,5.073300485967533,5.073300485967533,45.05360485496159,45.05360485496159,45.05360485496159,45.05360485496159,45.05360485496159,5.073300485967533,5.073300485967533,5.073300485967533,5.073300485967533,5.073300485967533
g8270,42,0.0,0,19,1,17,0,0.05263157894736842,0.0,0.22373652499477767,53.358058354482154,39.70685673426891,39.70685673426891,53.358058354482154,53.358058354482154,53.358058354482154,53.358058354482154,53.358058354482154,39.70685673426891,39.70685673426891,39.70685673426891,39.70685673426891,39.70685673426891
g8271,1,0.0,0,0,0,0,0,0.0,0.0,0.22595596755504052,50.32912026906744,36.677918648854195,36.677918648854195,50.32912026906744,50.32912026906744,50.32912026906744,50.32912026906744,50.32912026906744,36.677918648854195,36.677918648854195,36.677918648854195,36.677918648854195,36.677918648854195
g8272,11,0.0,0,7,0,4,0,0.0,0.0,0.2179800447973936,30.204407983014136,1.626922076575175,1.626922076575175,30.204407983014136,30.204407983014136,30.204407983014136,30.204407983014136,30.204407983014136,1.626922076575175,1.626922076575175,1.626922076575175,1.626922076575175,1.626922076575175
g8273,82,0.0,0,50,4,30,1,0.08,0.03333333333333333,0.2179800447973936,28.289985422845547,1.9597112740362375,1.9597112740362375,28.289985422845547,28.289985422845547,28.289985422845547,28.289985422845547,28.289985422845547,1.9597112740362375,1.9597112740362375,1.9597112740362375,1.9597112740362375,1.9597112740362375
